ID,Block/Item,Mod,Unlocalised name,Class,
34,Block,Minecraft,tile.null,net.minecraft.block.BlockPistonExtension,
35,Block,Minecraft,tile.cloth,net.minecraft.block.BlockColored,
36,Block,Minecraft,tile.null,net.minecraft.block.BlockPistonMoving,
37,Block,Minecraft,tile.flower,net.minecraft.block.BlockFlower,
38,Block,Minecraft,tile.rose,net.minecraft.block.BlockFlower,
39,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroom,
40,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroom,
41,Block,Minecraft,tile.blockGold,net.minecraft.block.BlockOreStorage,
42,Block,Minecraft,tile.blockIron,net.minecraft.block.BlockOreStorage,
43,Block,Minecraft,tile.stoneSlab,net.minecraft.block.BlockStep,
44,Block,Minecraft,tile.stoneSlab,net.minecraft.block.BlockStep,
45,Block,Minecraft,tile.brick,net.minecraft.block.Block,
46,Block,Minecraft,tile.tnt,net.minecraft.block.BlockTNT,
47,Block,Minecraft,tile.bookshelf,net.minecraft.block.BlockBookshelf,
48,Block,Minecraft,tile.stoneMoss,mrtjp.projectred.exploration.BlockPhotosyntheticCobblestone,
49,Block,Minecraft,tile.obsidian,net.minecraft.block.BlockObsidian,
50,Block,Minecraft,tile.torch,net.minecraft.block.BlockTorch,
51,Block,Minecraft,tile.fire,net.minecraft.block.BlockFire,
52,Block,Minecraft,tile.mobSpawner,net.minecraft.block.BlockMobSpawner,
53,Block,Minecraft,tile.stairsWood,net.minecraft.block.BlockStairs,
54,Block,Minecraft,tile.chest,net.minecraft.block.BlockChest,
55,Block,Minecraft,tile.redstoneDust,net.minecraft.block.BlockRedstoneWire,
56,Block,Minecraft,tile.oreDiamond,net.minecraft.block.BlockOre,
57,Block,Minecraft,tile.blockDiamond,factorization.common.BlockOreStorageShatterable,
58,Block,RandomThings,tile.coloredCrafing,lumien.randomthings.Blocks.BlockColoredWorkBench,
59,Block,Minecraft,tile.crops,net.minecraft.block.BlockCrops,
60,Block,Minecraft,tile.farmland,net.minecraft.block.BlockFarmland,
61,Block,Minecraft,tile.furnace,net.minecraft.block.BlockFurnace,
62,Block,Minecraft,tile.furnace,net.minecraft.block.BlockFurnace,
63,Block,Minecraft,tile.sign,net.minecraft.block.BlockSign,
64,Block,Minecraft,tile.doorWood,net.minecraft.block.BlockDoor,
65,Block,Minecraft,tile.ladder,net.minecraft.block.BlockLadder,
66,Block,Minecraft,tile.rail,net.minecraft.block.BlockRail,
67,Block,Minecraft,tile.stairsStone,net.minecraft.block.BlockStairs,
68,Block,Minecraft,tile.sign,net.minecraft.block.BlockSign,
69,Block,Minecraft,tile.lever,net.minecraft.block.BlockLever,
70,Block,Minecraft,tile.pressurePlate,net.minecraft.block.BlockPressurePlate,
71,Block,Minecraft,tile.doorIron,net.minecraft.block.BlockDoor,
72,Block,Minecraft,tile.pressurePlate,net.minecraft.block.BlockPressurePlate,
73,Block,Minecraft,tile.oreRedstone,net.minecraft.block.BlockRedstoneOre,
74,Block,Minecraft,tile.oreRedstone,net.minecraft.block.BlockRedstoneOre,
75,Block,Minecraft,tile.notGate,net.minecraft.block.BlockRedstoneTorch,
76,Block,Minecraft,tile.notGate,net.minecraft.block.BlockRedstoneTorch,
77,Block,Minecraft,tile.button,net.minecraft.block.BlockButtonStone,
78,Block,Minecraft,tile.snow,net.minecraft.block.BlockSnow,
79,Block,Chisel,tile.ice,info.jbcs.minecraft.chisel.BlockMarbleIce,
80,Block,Minecraft,tile.snow,net.minecraft.block.BlockSnowBlock,
81,Block,Minecraft,tile.cactus,net.minecraft.block.BlockCactus,
82,Block,Minecraft,tile.clay,net.minecraft.block.BlockClay,
83,Block,Minecraft,tile.reeds,net.minecraft.block.BlockReed,
84,Block,Minecraft,tile.jukebox,net.minecraft.block.BlockJukeBox,
85,Block,FancyFences,tile.fence,vanillawithsprinkles.fancyfences.modBlockFence,
86,Block,Minecraft,tile.pumpkin,net.minecraft.block.BlockPumpkin,
87,Block,Minecraft,tile.hellrock,net.minecraft.block.BlockNetherrack,
88,Block,Minecraft,tile.hellsand,net.minecraft.block.BlockSoulSand,
89,Block,Minecraft,tile.lightgem,net.minecraft.block.BlockGlowStone,
90,Block,Minecraft,tile.portal,net.minecraft.block.BlockPortal,
91,Block,Minecraft,tile.litpumpkin,net.minecraft.block.BlockPumpkin,
92,Block,Minecraft,tile.cake,net.minecraft.block.BlockCake,
93,Block,Minecraft,tile.diode,net.minecraft.block.BlockRedstoneRepeater,
94,Block,Minecraft,tile.diode,net.minecraft.block.BlockRedstoneRepeater,
95,Block,Minecraft,tile.lockedchest,net.minecraft.block.BlockLockedChest,
96,Block,Minecraft,tile.trapdoor,net.minecraft.block.BlockTrapDoor,
97,Block,Minecraft,tile.monsterStoneEgg,net.minecraft.block.BlockSilverfish,
98,Block,Minecraft,tile.stonebricksmooth,mrtjp.projectred.exploration.BlockPhotosyntheticStoneBrick,
99,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroomCap,
100,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroomCap,
101,Block,Minecraft,tile.fenceIron,vanillawithsprinkles.fancyfences.modBlockPane,
102,Block,Minecraft,tile.thinGlass,vanillawithsprinkles.fancyfences.modBlockPane,
103,Block,Minecraft,tile.melon,net.minecraft.block.BlockMelon,
104,Block,Minecraft,tile.pumpkinStem,net.minecraft.block.BlockStem,
105,Block,Minecraft,tile.pumpkinStem,net.minecraft.block.BlockStem,
106,Block,Minecraft,tile.vine,net.minecraft.block.BlockVine,
107,Block,Minecraft,tile.fenceGate,net.minecraft.block.BlockFenceGate,
108,Block,Minecraft,tile.stairsBrick,net.minecraft.block.BlockStairs,
109,Block,Minecraft,tile.stairsStoneBrickSmooth,net.minecraft.block.BlockStairs,
110,Block,Minecraft,tile.mycel,net.minecraft.block.BlockMycelium,
111,Block,Minecraft,tile.waterlily,net.minecraft.block.BlockLilyPad,
112,Block,Minecraft,tile.netherBrick,net.minecraft.block.Block,
113,Block,FancyFences,tile.netherFence,vanillawithsprinkles.fancyfences.modBlockFence,
114,Block,Minecraft,tile.stairsNetherBrick,net.minecraft.block.BlockStairs,
115,Block,Minecraft,tile.netherStalk,net.minecraft.block.BlockNetherStalk,
116,Block,Minecraft,tile.enchantmentTable,net.minecraft.block.BlockEnchantmentTable,
117,Block,Minecraft,tile.brewingStand,net.minecraft.block.BlockBrewingStand,
118,Block,Minecraft,tile.cauldron,net.minecraft.block.BlockCauldron,
119,Block,Minecraft,tile.null,net.minecraft.block.BlockEndPortal,
120,Block,Minecraft,tile.endPortalFrame,net.minecraft.block.BlockEndPortalFrame,
121,Block,Minecraft,tile.whiteStone,net.minecraft.block.Block,
122,Block,Minecraft,tile.dragonEgg,net.minecraft.block.BlockDragonEgg,
123,Block,RandomThings,tile.null,lumien.randomthings.Blocks.BlockColoredLamp,
124,Block,RandomThings,tile.null,lumien.randomthings.Blocks.BlockColoredLamp,
125,Block,Minecraft,tile.woodSlab,net.minecraft.block.BlockWoodSlab,
126,Block,Minecraft,tile.woodSlab,net.minecraft.block.BlockWoodSlab,
127,Block,Minecraft,tile.cocoa,net.minecraft.block.BlockCocoa,
128,Block,Minecraft,tile.stairsSandStone,net.minecraft.block.BlockStairs,
129,Block,Minecraft,tile.oreEmerald,net.minecraft.block.BlockOre,
130,Block,Minecraft,tile.enderChest,net.minecraft.block.BlockEnderChest,
131,Block,Minecraft,tile.tripWireSource,net.minecraft.block.BlockTripWireSource,
132,Block,Minecraft,tile.tripWire,net.minecraft.block.BlockTripWire,
133,Block,Minecraft,tile.blockEmerald,net.minecraft.block.BlockOreStorage,
134,Block,Minecraft,tile.stairsWoodSpruce,net.minecraft.block.BlockStairs,
135,Block,Minecraft,tile.stairsWoodBirch,net.minecraft.block.BlockStairs,
136,Block,Minecraft,tile.stairsWoodJungle,net.minecraft.block.BlockStairs,
137,Block,Minecraft,tile.commandBlock,net.minecraft.block.BlockCommandBlock,
138,Block,Minecraft,tile.beacon,net.minecraft.block.BlockBeacon,
139,Block,FancyFences,tile.cobbleWall,vanillawithsprinkles.fancyfences.modBlockWall,
140,Block,Minecraft,tile.flowerPot,net.minecraft.block.BlockFlowerPot,
141,Block,Minecraft,tile.carrots,net.minecraft.block.BlockCarrot,
142,Block,Minecraft,tile.potatoes,net.minecraft.block.BlockPotato,
143,Block,Minecraft,tile.button,net.minecraft.block.BlockButtonWood,
144,Block,IguanaTweaksTConstruct,tile.skull,iguanaman.iguanatweakstconstruct.blocks.IguanaBlockSkull,
145,Block,Minecraft,tile.anvil,net.minecraft.block.BlockAnvil,
146,Block,Minecraft,tile.chestTrap,net.minecraft.block.BlockChest,
147,Block,Minecraft,tile.weightedPlate_light,net.minecraft.block.BlockPressurePlateWeighted,
148,Block,Minecraft,tile.weightedPlate_heavy,net.minecraft.block.BlockPressurePlateWeighted,
149,Block,Minecraft,tile.comparator,net.minecraft.block.BlockComparator,
150,Block,Minecraft,tile.comparator,net.minecraft.block.BlockComparator,
151,Block,Minecraft,tile.daylightDetector,net.minecraft.block.BlockDaylightDetector,
152,Block,RandomThings,tile.blockRedstone,lumien.randomthings.Blocks.BlockColoredRedstoneBlock,
153,Block,Minecraft,tile.netherquartz,powercrystals.netherores.ores.BlockNetherOverrideOre,
154,Block,Minecraft,tile.hopper,net.minecraft.block.BlockHopper,
155,Block,Minecraft,tile.quartzBlock,net.minecraft.block.BlockQuartz,
156,Block,Minecraft,tile.stairsQuartz,net.minecraft.block.BlockStairs,
157,Block,Minecraft,tile.activatorRail,net.minecraft.block.BlockRailPowered,
158,Block,Minecraft,tile.dropper,net.minecraft.block.BlockDropper,
159,Block,Minecraft,tile.clayHardenedStained,net.minecraft.block.BlockColored,
160,Block,BiomesOPlenty,tile.bop.mud,biomesoplenty.blocks.BlockMud,
161,Block,BiomesOPlenty,tile.bop.generic.dried_dirt,biomesoplenty.blocks.BlockBOPGeneric,
162,Block,BiomesOPlenty,tile.bop.redRocks,biomesoplenty.blocks.BlockBOPRedRock,
163,Block,BiomesOPlenty,tile.bop.ash,biomesoplenty.blocks.BlockAsh,
164,Block,BiomesOPlenty,tile.bop.generic.ash_stone,biomesoplenty.blocks.BlockBOPGeneric,
165,Block,BiomesOPlenty,tile.bop.generic.hard_ice,biomesoplenty.blocks.BlockBOPGeneric,
166,Block,BiomesOPlenty,tile.bop.originGrass,biomesoplenty.blocks.BlockOriginGrass,
167,Block,BiomesOPlenty,tile.bop.generic.hard_sand,biomesoplenty.blocks.BlockBOPGeneric,
168,Block,BiomesOPlenty,tile.bop.generic.hard_dirt,biomesoplenty.blocks.BlockBOPGeneric,
169,Block,BiomesOPlenty,tile.bop.holyGrass,biomesoplenty.blocks.BlockBOPGrass,
170,Block,Minecraft,tile.hayBlock,net.minecraft.block.BlockHay,
171,Block,Minecraft,tile.woolCarpet,net.minecraft.block.BlockCarpet,
172,Block,Minecraft,tile.clayHardened,net.minecraft.block.Block,
173,Block,Minecraft,tile.blockCoal,net.minecraft.block.Block,
174,Block,BiomesOPlenty,tile.bop.flesh,biomesoplenty.blocks.BlockFlesh,
175,null,null,null,null,
176,null,null,null,null,
177,null,null,null,null,
178,null,null,null,null,
179,null,null,null,null,
180,null,null,null,null,
181,null,null,null,null,
182,null,null,null,null,
183,null,null,null,null,
184,null,null,null,null,
185,null,null,null,null,
186,null,null,null,null,
187,null,null,null,null,
188,null,null,null,null,
189,Block,Natura,tile.HeatSand,mods.natura.blocks.HeatSand,
190,Block,Natura,tile.TaintedSoil,mods.natura.blocks.TaintedSoil,
191,null,null,null,null,
192,null,null,null,null,
193,null,null,null,null,
194,null,null,null,null,
195,Block,emashercore,tile.limestone,emasher.core.block.BlockLimestone,
196,Block,emashercore,tile.redSandstone,emasher.core.block.BlockRedSandstone,
197,Block,emashercore,tile.mixedsand,emasher.core.block.BlockMixedSand,
198,Block,emashercore,tile.mixedDirt,emasher.core.block.BlockMixedDirt,
199,Block,emashercore,tile.normalCube,emasher.core.block.BlockNormalCube,
200,null,null,null,null,
201,null,null,null,null,
202,null,null,null,null,
203,null,null,null,null,
204,null,null,null,null,
205,null,null,null,null,
206,null,null,null,null,
207,null,null,null,null,
208,null,null,null,null,
209,null,null,null,null,
210,null,null,null,null,
211,null,null,null,null,
212,null,null,null,null,
213,null,null,null,null,
214,null,null,null,null,
215,null,null,null,null,
216,null,null,null,null,
217,null,null,null,null,
218,null,null,null,null,
219,null,null,null,null,
220,null,null,null,null,
221,null,null,null,null,
222,null,null,null,null,
223,null,null,null,null,
224,null,null,null,null,
225,null,null,null,null,
226,null,null,null,null,
227,null,null,null,null,
228,null,null,null,null,
229,null,null,null,null,
230,null,null,null,null,
231,null,null,null,null,
232,null,null,null,null,
233,null,null,null,null,
234,null,null,null,null,
235,null,null,null,null,
236,null,null,null,null,
237,null,null,null,null,
238,null,null,null,null,
239,null,null,null,null,
240,null,null,null,null,
241,Block,EnderStorage,tile.enderchest,codechicken.enderstorage.common.BlockEnderStorage,
242,null,null,null,null,
243,Block,ChickenChunks,tile.chickenChunkLoader,codechicken.chunkloader.BlockChunkLoader,
244,null,null,null,null,
245,null,null,null,null,
246,null,null,null,null,
247,null,null,null,null,
248,null,null,null,null,
249,Block,dynamictanks,tile.dynamictanks.blocks.blockHauntedDirt,doc.mods.dynamictanks.block.BlockHauntedDirt,
250,null,null,null,null,
251,null,null,null,null,
252,Block,BiomesOPlenty,tile.bop.longGrass,biomesoplenty.blocks.BlockLongGrass,
253,Block,BiomesOPlenty,tile.bop.generic.crag_rock,biomesoplenty.blocks.BlockBOPGeneric,
254,Block,BiomesOPlenty,tile.bop.holyStone,biomesoplenty.blocks.BlockBOPSkystone,
255,Block,BiomesOPlenty,tile.bop.generic.holy_dirt,biomesoplenty.blocks.BlockBOPGeneric,
256,Block,Minecraft,tile.ForgeFiller,null,
257,Block,Minecraft,tile.ForgeFiller,null,
258,Block,Minecraft,tile.ForgeFiller,null,
259,Block,Minecraft,tile.ForgeFiller,null,
260,Block,Minecraft,tile.ForgeFiller,null,
261,Block,advancedgenetics,tile.ForgeFiller,null,
262,Block,Minecraft,tile.ForgeFiller,null,
263,Block,Minecraft,tile.ForgeFiller,null,
264,Block,Minecraft,tile.ForgeFiller,null,
265,Block,Minecraft,tile.ForgeFiller,null,
266,Block,Minecraft,tile.ForgeFiller,null,
267,Block,Minecraft,tile.ForgeFiller,null,
268,Block,Minecraft,tile.ForgeFiller,null,
269,Block,Minecraft,tile.ForgeFiller,null,
270,Block,Minecraft,tile.ForgeFiller,null,
271,Block,Minecraft,tile.ForgeFiller,null,
272,Block,Minecraft,tile.ForgeFiller,null,
273,Block,Minecraft,tile.ForgeFiller,null,
274,Block,Minecraft,tile.ForgeFiller,null,
275,Block,Minecraft,tile.ForgeFiller,null,
276,Block,Minecraft,tile.ForgeFiller,null,
277,Block,Minecraft,tile.ForgeFiller,null,
278,Block,Minecraft,tile.ForgeFiller,null,
279,Block,Minecraft,tile.ForgeFiller,null,
280,Block,Minecraft,tile.ForgeFiller,null,
281,Block,Minecraft,tile.ForgeFiller,null,
282,Block,Minecraft,tile.ForgeFiller,null,
283,Block,Minecraft,tile.ForgeFiller,null,
284,Block,Minecraft,tile.ForgeFiller,null,
285,Block,Minecraft,tile.ForgeFiller,null,
286,Block,Minecraft,tile.ForgeFiller,null,
287,Block,Minecraft,tile.ForgeFiller,null,
288,Block,Minecraft,tile.ForgeFiller,null,
289,Block,Minecraft,tile.ForgeFiller,null,
290,Block,Minecraft,tile.ForgeFiller,null,
291,Block,Minecraft,tile.ForgeFiller,null,
292,Block,Minecraft,tile.ForgeFiller,null,
293,Block,Minecraft,tile.ForgeFiller,null,
294,Block,Minecraft,tile.ForgeFiller,null,
295,Block,Minecraft,tile.ForgeFiller,null,
296,Block,Minecraft,tile.ForgeFiller,null,
297,Block,Minecraft,tile.ForgeFiller,null,
298,Block,Minecraft,tile.ForgeFiller,null,
299,Block,Minecraft,tile.ForgeFiller,null,
300,Block,Minecraft,tile.ForgeFiller,null,
301,Block,Minecraft,tile.ForgeFiller,null,
302,Block,Minecraft,tile.ForgeFiller,null,
303,Block,Minecraft,tile.ForgeFiller,null,
304,Block,Minecraft,tile.ForgeFiller,null,
305,Block,Minecraft,tile.ForgeFiller,null,
306,Block,Minecraft,tile.ForgeFiller,null,
307,Block,Minecraft,tile.ForgeFiller,null,
308,Block,Minecraft,tile.ForgeFiller,null,
309,Block,Minecraft,tile.ForgeFiller,null,
310,Block,Minecraft,tile.ForgeFiller,null,
311,Block,Minecraft,tile.ForgeFiller,null,
312,Block,Minecraft,tile.ForgeFiller,null,
313,Block,Minecraft,tile.ForgeFiller,null,
314,Block,Minecraft,tile.ForgeFiller,null,
315,Block,Minecraft,tile.ForgeFiller,null,
316,Block,Minecraft,tile.ForgeFiller,null,
317,Block,Minecraft,tile.ForgeFiller,null,
318,Block,Minecraft,tile.ForgeFiller,null,
319,Block,Minecraft,tile.ForgeFiller,null,
320,Block,Minecraft,tile.ForgeFiller,null,
321,Block,Minecraft,tile.ForgeFiller,null,
322,Block,Minecraft,tile.ForgeFiller,null,
323,Block,Minecraft,tile.ForgeFiller,null,
324,Block,Minecraft,tile.ForgeFiller,null,
325,Block,Minecraft,tile.ForgeFiller,null,
326,Block,Minecraft,tile.ForgeFiller,null,
327,Block,Minecraft,tile.ForgeFiller,null,
328,Block,Railcraft,tile.ForgeFiller,null,
329,Block,Minecraft,tile.ForgeFiller,null,
330,Block,Minecraft,tile.ForgeFiller,null,
331,Block,Minecraft,tile.ForgeFiller,null,
332,Block,Minecraft,tile.ForgeFiller,null,
333,Block,Minecraft,tile.ForgeFiller,null,
334,Block,Minecraft,tile.ForgeFiller,null,
335,Block,MineFactoryReloaded,tile.ForgeFiller,null,
336,Block,Minecraft,tile.ForgeFiller,null,
337,Block,Minecraft,tile.ForgeFiller,null,
338,Block,Minecraft,tile.ForgeFiller,null,
339,Block,Minecraft,tile.ForgeFiller,null,
340,Block,Minecraft,tile.ForgeFiller,null,
341,Block,Minecraft,tile.ForgeFiller,null,
342,Block,Railcraft,tile.ForgeFiller,null,
343,Block,Railcraft,tile.ForgeFiller,null,
344,Block,Minecraft,tile.ForgeFiller,null,
345,Block,Minecraft,tile.ForgeFiller,null,
346,Block,Minecraft,tile.ForgeFiller,null,
347,Block,Minecraft,tile.ForgeFiller,null,
348,Block,Minecraft,tile.ForgeFiller,null,
349,Block,Minecraft,tile.ForgeFiller,null,
350,Block,Minecraft,tile.ForgeFiller,null,
351,Block,Minecraft,tile.ForgeFiller,null,
352,Block,Minecraft,tile.ForgeFiller,null,
353,Block,Minecraft,tile.ForgeFiller,null,
354,Block,Minecraft,tile.ForgeFiller,null,
355,Block,Minecraft,tile.ForgeFiller,null,
356,Block,Minecraft,tile.ForgeFiller,null,
357,Block,Minecraft,tile.ForgeFiller,null,
358,Block,Minecraft,tile.ForgeFiller,null,
359,Block,Minecraft,tile.ForgeFiller,null,
360,Block,Minecraft,tile.ForgeFiller,null,
361,Block,Minecraft,tile.ForgeFiller,null,
362,Block,Minecraft,tile.ForgeFiller,null,
363,Block,Minecraft,tile.ForgeFiller,null,
364,Block,Minecraft,tile.ForgeFiller,null,
365,Block,Minecraft,tile.ForgeFiller,null,
366,Block,Minecraft,tile.ForgeFiller,null,
367,Block,Minecraft,tile.ForgeFiller,null,
368,Block,Minecraft,tile.ForgeFiller,null,
369,Block,Minecraft,tile.ForgeFiller,null,
370,Block,Minecraft,tile.ForgeFiller,null,
371,Block,Minecraft,tile.ForgeFiller,null,
372,Block,Minecraft,tile.ForgeFiller,null,
373,Block,Minecraft,tile.ForgeFiller,null,
374,Block,Minecraft,tile.ForgeFiller,null,
375,Block,Minecraft,tile.ForgeFiller,null,
376,Block,Minecraft,tile.ForgeFiller,null,
377,Block,Minecraft,tile.ForgeFiller,null,
378,Block,Minecraft,tile.ForgeFiller,null,
379,Block,Minecraft,tile.ForgeFiller,null,
380,Block,Minecraft,tile.ForgeFiller,null,
381,Block,Minecraft,tile.ForgeFiller,null,
382,Block,Minecraft,tile.ForgeFiller,null,
383,Block,Minecraft,tile.ForgeFiller,null,
384,Block,Minecraft,tile.ForgeFiller,null,
385,Block,Minecraft,tile.ForgeFiller,null,
386,Block,Minecraft,tile.ForgeFiller,null,
387,Block,Minecraft,tile.ForgeFiller,null,
388,Block,Minecraft,tile.ForgeFiller,null,
389,Block,Minecraft,tile.ForgeFiller,null,
390,Block,Minecraft,tile.ForgeFiller,null,
391,Block,Minecraft,tile.ForgeFiller,null,
392,Block,Minecraft,tile.ForgeFiller,null,
393,Block,Minecraft,tile.ForgeFiller,null,
394,Block,Minecraft,tile.ForgeFiller,null,
395,Block,Minecraft,tile.ForgeFiller,null,
396,Block,Minecraft,tile.ForgeFiller,null,
397,Block,IguanaTweaksTConstruct,tile.ForgeFiller,null,
398,Block,Minecraft,tile.ForgeFiller,null,
399,Block,Minecraft,tile.ForgeFiller,null,
400,Block,Minecraft,tile.ForgeFiller,null,
401,Block,Minecraft,tile.ForgeFiller,null,
402,Block,Minecraft,tile.ForgeFiller,null,
403,Block,Minecraft,tile.ForgeFiller,null,
404,Block,Minecraft,tile.ForgeFiller,null,
405,Block,Minecraft,tile.ForgeFiller,null,
406,Block,Minecraft,tile.ForgeFiller,null,
407,Block,Railcraft,tile.ForgeFiller,null,
408,Block,Minecraft,tile.ForgeFiller,null,
409,null,null,null,null,
410,null,null,null,null,
411,null,null,null,null,
412,null,null,null,null,
413,null,null,null,null,
414,null,null,null,null,
415,null,null,null,null,
416,null,null,null,null,
417,Block,Minecraft,tile.ForgeFiller,null,
418,Block,Minecraft,tile.ForgeFiller,null,
419,Block,Minecraft,tile.ForgeFiller,null,
420,Block,Minecraft,tile.ForgeFiller,null,
421,Block,Minecraft,tile.ForgeFiller,null,
422,null,null,null,null,
423,null,null,null,null,
424,null,null,null,null,
425,null,null,null,null,
426,null,null,null,null,
427,null,null,null,null,
428,null,null,null,null,
429,null,null,null,null,
430,null,null,null,null,
431,null,null,null,null,
432,null,null,null,null,
433,null,null,null,null,
434,null,null,null,null,
435,null,null,null,null,
436,null,null,null,null,
437,null,null,null,null,
438,null,null,null,null,
439,null,null,null,null,
440,null,null,null,null,
441,null,null,null,null,
442,null,null,null,null,
443,null,null,null,null,
444,null,null,null,null,
445,null,null,null,null,
446,null,null,null,null,
447,null,null,null,null,
448,null,null,null,null,
449,null,null,null,null,
450,Block,Railcraft,tile.railcraft.detector,mods.railcraft.common.blocks.detector.BlockDetector,
451,Block,Railcraft,tile.railcraft.machine.alpha,mods.railcraft.common.blocks.machine.BlockMachine,
452,Block,Railcraft,tile.railcraft.machine.beta,mods.railcraft.common.blocks.machine.BlockMachine,
453,Block,Railcraft,tile.railcraft.machine.gamma,mods.railcraft.common.blocks.machine.BlockMachine,
454,Block,Railcraft,tile.railcraft.track,mods.railcraft.common.blocks.tracks.BlockTrack,
455,Block,Railcraft,tile.railcraft.track.elevator,mods.railcraft.common.blocks.tracks.BlockTrackElevator,
456,Block,Railcraft,tile.railcraft.signal,mods.railcraft.common.blocks.signals.BlockSignal,
457,Block,Railcraft,tile.railcraft.cube,mods.railcraft.common.blocks.aesthetics.cube.BlockCube,
458,Block,Railcraft,tile.railcraft.ore,mods.railcraft.common.blocks.ore.BlockOre,
459,Block,Railcraft,tile.railcraft.post,mods.railcraft.common.blocks.aesthetics.post.BlockPost,
460,Block,Railcraft,tile.railcraft.post.metal,mods.railcraft.common.blocks.aesthetics.post.BlockPostMetal,
461,Block,Railcraft,tile.railcraft.wall.alpha,mods.railcraft.common.blocks.aesthetics.wall.BlockRailcraftWall,
462,Block,Railcraft,tile.railcraft.worldlogic,mods.railcraft.common.blocks.ore.BlockWorldLogic,
463,Block,Railcraft,tile.railcraft.wall.beta,mods.railcraft.common.blocks.aesthetics.wall.BlockRailcraftWall,
464,Block,Railcraft,tile.railcraft.stair,mods.railcraft.common.blocks.aesthetics.stairs.BlockRailcraftStairs,
465,Block,Railcraft,tile.railcraft.slab,mods.railcraft.common.blocks.aesthetics.slab.BlockRailcraftSlab,
466,Block,Railcraft,tile.railcraft.brick.abyssal,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick,
467,Block,Railcraft,tile.railcraft.brick.infernal,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick,
468,Block,Railcraft,tile.railcraft.brick.bloodstained,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick,
469,Block,Railcraft,tile.railcraft.brick.sandy,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick,
470,Block,Railcraft,tile.railcraft.brick.bleachedbone,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick,
471,Block,Railcraft,tile.railcraft.brick.quarried,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick,
472,Block,Railcraft,tile.railcraft.brick.frostbound,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick,
473,Block,Railcraft,tile.railcraft.hidden,mods.railcraft.common.blocks.hidden.BlockHidden,
474,Block,Railcraft,tile.railcraft.glass,mods.railcraft.common.blocks.aesthetics.glass.BlockStrengthGlass,
475,Block,Railcraft,tile.railcraft.brick.nether,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick.BlockNetherBrick,
476,null,null,null,null,
477,Block,Railcraft,tile.block.firestone.recharge,mods.railcraft.common.items.firestone.BlockFirestoneRecharge,
